[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,9352831.33,04-19-2021,3:20 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,mcamp,11.3
INFO,tef,7
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,9356987.65,10.01573085,499.359,1000,10.0005122298493,,0.107731576190906,,,,,,,,,,125,1,0,0.621359593016433,0.000462031630937735,4369,0,10.0131445,10.0183172,499.359,499.359,,9.85215,,,,,,,,,,,,,,,,,,,,,,,10.01573085
,9358707.83,4.4999996875,-0.504,10,3.99801746824349,,1.46676796417039E-6,0.000118096195189105,4.91651111414118E-6,0.000118198491528778,2.38392746670501,1.47541733456939E-8,1.13598520324004E-10,1.4754610660353E-8,0.441135332435156,6400,25,5,13.4965986394558,0.621359593016433,7.9124111438993E-5,4369,0,4.4971709,4.5017166,-0.504,-0.504,,4.5086,,,,,,,,,,,,,,,,,,,,,,,4.4999996875
,9358823.80,4.4992681625,-0.504,13.3350419384902,3.9980171208301,,6.69949868808144E-7,0.000115792873087936,4.24358080059658E-6,0.000115870606436534,2.09883820452234,1.47711629409693E-8,3.67280558475579E-11,1.47712086025062E-8,0.142463952327069,6400,25,5,13.4965986394558,0.621359593016433,7.81647228961561E-5,4369,0,4.4945469,4.5012031,-0.504,-0.504,,4.5074875,,,,,,,,,,,,,,,,,,,,,,,4.4992681625
,9358920.03,4.4990476875,-0.504,15.547064305685,3.99801683562655,,6.62023050224273E-7,0.000114748546980676,5.36934431704609E-6,0.00011487410018177,2.67904511722691,1.4796534900068E-8,5.96487785610215E-11,1.47966551296472E-8,0.230973317369715,6400,25,5,13.4965986394558,0.621359593016433,7.84454217383654E-5,4369,0,4.4973903,4.500762,-0.504,-0.504,,4.512575,,,,,,,,,,,,,,,,,,,,,,,4.4990476875
,9359005.77,4.498929075,-0.504,17.7830848089469,3.99801650292908,,6.77420155824388E-7,0.000114496914553994,5.69962133375473E-6,0.000114638689480178,2.84981394346443,1.47918213867332E-8,6.10633263905937E-11,1.47919474264495E-8,0.236526044987537,6400,25,5,13.4965986394558,0.621359593016433,7.86737100967508E-5,4369,0,4.4937749,4.5018559,-0.504,-0.504,,4.509475,,,,,,,,,,,,,,,,,,,,,,,4.498929075
,9359081.96,4.5015390375,-0.504,23.7138863000932,3.99801540426222,,4.61425098174133E-7,0.000113514697382595,7.18422824052321E-6,0.000113741811385585,3.6213608932169,1.47711068625023E-8,5.60962502994361E-11,1.47712133805168E-8,0.217591204707977,3200,25,5,13.4965986394558,0.621359593016433,7.96599254289361E-5,4369,0,4.496511,4.5056911,-0.504,-0.504,,4.5129875,,,,,,,,,,,,,,,,,,,,,,,4.5015390375
,9359145.31,4.4995654625,-0.504,31.6230195712954,3.99801345046484,,3.5280754076587E-7,0.000112523835351599,8.89143544714772E-6,0.000112874581490009,4.51802393589358,1.47445864933023E-8,4.82833263370216E-11,1.47446655485323E-8,0.187622822304693,3200,25,5,13.4965986394558,0.621359593016433,8.11461054989307E-5,4369,0,4.496655,4.5006099,-0.504,-0.504,,4.5125375,,,,,,,,,,,,,,,,,,,,,,,4.4995654625
,9359198.83,4.49846805,-0.504,37,3.99801180327569,,3.10408839339681E-7,0.000111417411417493,9.80198522613971E-6,0.000111847746876495,5.02767181566856,1.47339193820613E-8,5.0288878511157E-11,1.47340052032156E-8,0.195557558839054,3200,25,5,13.4965986394558,0.621359593016433,8.25295497926768E-5,4369,0,4.4938345,4.5041714,-0.504,-0.504,,4.5112375,,,,,,,,,,,,,,,,,,,,,,,4.49846805
,9359248.92,4.500400125,-0.504,42.1700838769804,3.99800997604517,,4.33812863044697E-7,0.00010982182012711,1.09404556191455E-5,0.000110365419154669,5.68903854638712,1.4742697721448E-8,5.41195398226786E-11,1.47427970558703E-8,0.210328350418406,1600,25,5,13.4965986394558,0.621359593016433,8.35582709495395E-5,4369,0,4.4969745,4.5038557,-0.504,-0.504,,4.51275,,,,,,,,,,,,,,,,,,,,,,,4.500400125
,9359295.32,4.4980759375,-0.504,49,3.99800719632134,,3.13552225065096E-7,0.000108741251895425,1.18862771694874E-5,0.000109388954875409,6.23811484711836,1.47334718359794E-8,5.54822477622486E-11,1.47335763011367E-8,0.21575930261712,1600,25,5,13.4965986394558,0.621359593016433,8.54750430434833E-5,4369,0,4.4936771,4.5024371,-0.504,-0.504,,4.511975,,,,,,,,,,,,,,,,,,,,,,,4.4980759375
,9359338.41,4.5002798625,-0.504,56.2339235787512,3.99800379801415,,2.51856564798562E-7,0.000107688969137263,1.30696745190342E-5,0.000108479170654462,6.91986089646946,1.47315435249017E-8,6.12137068362163E-11,1.47316707044373E-8,0.238078709017634,1600,25,5,13.4965986394558,0.621359593016433,8.72790544025281E-5,4369,0,4.4958334,4.5072203,-0.504,-0.504,,4.5111,,,,,,,,,,,,,,,,,,,,,,,4.5002798625
,9359378.92,4.49929285,-0.504,65,3.99799905383487,,2.6072893600766E-7,0.000106187200317696,1.40661499322608E-5,0.000107114789292737,7.54578812274555,1.47288359395857E-8,6.526142676488E-11,1.47289805210358E-8,0.253867981437302,1600,25,5,13.4965986394558,0.621359593016433,8.9360877415691E-5,4369,0,4.4958334,4.5060201,-0.504,-0.504,,4.5128875,,,,,,,,,,,,,,,,,,,,,,,4.49929285
